unique_id;region;region_type
Tax_AL;ALB;country
ETS_AL;ALB;country
Tax_AN;AND;country
Tax_AR;ARG;country
ETS_AR;ARG;country
ETS_AU1;AUS;country
ETS_AU2;AUS;country
ETS_AT;AUT;country
Tax_BH;BHR;country
ETS_BR;BRA;country
UND_BN;BRN;country
Tax_BW;BWA;country
Tax_CA_Alberta;CAN;within_country
ETS_CA_Alberta;CAN;within_country
Tax_CA_BC;CAN;within_country
ETS_CA_BC;CAN;within_country
ETS_CA2;CAN;country
Tax_CA;CAN;country
ETS_CA;CAN;country
Tax_CA_Manitoba;CAN;within_country
ETS_CA_Manitoba;CAN;within_country
Tax_CA_NB;CAN;within_country
ETS_CA_NB;CAN;within_country
Tax_CA_NL;CAN;within_country
ETS_CA_NL;CAN;within_country
Tax_CA_NT;CAN;within_country
ETS_CA_NS;CAN;within_country
ETS_CA_Ontario;CAN;within_country
ETS_CA_Ontario2;CAN;within_country
Tax_CA_PE;CAN;within_country
ETS_CA_Quebec;CAN;within_country
ETS_CA_SK;CAN;within_country
Tax_CH;CHE;country
ETS_CH;CHE;country
Tax_CL;CHL;country
ETS_CL;CHL;country
ETS_CN_Beijing;CHN;within_country
ETS_CN;CHN;country
ETS_CN_Chongqing;CHN;within_country
ETS_CN_Fujian;CHN;within_country
ETS_CN_Guangdong;CHN;within_country
ETS_CN_Hubei;CHN;within_country
ETS_CN_Shandong;CHN;within_country
ETS_CN_Shanghai;CHN;within_country
ETS_CN_Shenzhen;CHN;within_country
ETS_CN_Tianjin;CHN;within_country
Tax_CD;CIV;country
Tax_CO;COL;country
ETS_CO;COL;country
ETS_DE;DEU;country
Tax_DK;DNK;country
Tax_CAT;ESP;within_country
Tax_ES;ESP;country
Tax_EE;EST;country
ETS_EU;EU;region
ETS_EU2;EU27+;region
Tax_FI;FIN;country
Tax_FR;FRA;country
Tax_UK;GBR;country
ETS_UK;GBR;country
Tax_HU;HUN;country
Tax_ID;IDN;country
ETS_ID;IDN;country
ETS_IN;IND;country
Tax_IE;IRL;country
Tax_IS;ISL;country
Tax_IL;ISR;country
Tax_JP;JPN;country
ETS_JP;JPN;country
ETS_JP_Saitama;JPN;within_country
ETS_JP_Tokyo;JPN;within_country
ETS_KZ;KAZ;country
Tax_KE;KEN;country
ETS_KR;KOR;country
Tax_LI;LIE;country
Tax_LU;LUX;country
Tax_LT;LVA;country
Tax_MA;MAR;country
Tax_MX_BC;MEX;within_country
Tax_MX_Colima;MEX;within_country
Tax_MX_Durango;MEX;within_country
Tax_MX_Guanajuato;MEX;within_country
Tax_MX_JA;MEX;within_country
Tax_MX;MEX;country
ETS_MX;MEX;country
Tax_MX_MC;MEX;within_country
Tax_MX_MO;MEX;within_country
Tax_MX_Queretaro;MEX;within_country
Tax_MX_SLP;MEX;within_country
Tax_MX_SoMexico;MEX;within_country
Tax_MX_TA;MEX;within_country
Tax_MX_Yucatan;MEX;within_country
Tax_MX_ZA;MEX;within_country
ETS_MO;MNE;country
Tax_MR;MRT;country
ETS_MY;MYS;country
Tax_NL;NLD;country
Tax_NO;NOR;country
Tax_NZ;NZL;country
ETS_NZ;NZL;country
ETS_PK;PAK;country
ETS_PH;PHL;country
Tax_PL;POL;country
Tax_PT;PRT;country
Tax_PY;PRY;country
ETS_RU_Sakhalin;RUS;within_country
Tax_SN;SEN;country
Tax_SG;SGP;country
Tax_SL;SVN;country
Tax_SE;SWE;country
Tax_TH;THA;country
ETS_TH;THA;country
ETS_TR;TUR;country
Tax_CN_Taiwan;TWN;within_country
ETS_CN_Taiwan;TWN;within_country
Tax_UA;UKR;country
ETS_UA;UKR;country
Tax_UY;URY;country
ETS_US_California;USA;within_country
ETS_US_CO;USA;within_country
Tax_US_HI;USA;within_country
ETS_US_Maryland;USA;within_country
ETS_US_MA;USA;within_country
ETS_US_TCIP;USA;within_country region
ETS_US_NY;USA;within_country
ETS_US_Oregon;USA;within_country
ETS_US_PE;USA;within_country
ETS_RGGI;USA;within_country region
ETS_US_Washington;USA;within_country
ETS_VN;VNM;country
Tax_ZA;ZAF;country
